pregunta_usuario,respuesta_generada_por_chatclinica,respuesta_esperada
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Qué normas técnicas debo cumplir para operar legalmente?",Las normas varían por industria y ubicación geográfica; debes consultar la legislación y los organismos reguladores de tu sector.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Es obligatorio tener un libro de reclamaciones?",Sí es obligatorio para todos los negocios que venden bienes o prestan servicios tener un libro de reclamaciones a disposición de los consumidores.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Es necesario tener un protocolo de bioseguridad?",Sí es indispensable para proteger la salud colectiva prevenir la transmisión de enfermedades y garantizar la seguridad de todos.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Qué materiales son obligatorios para la gestión de residuos?",Los materiales obligatorios incluyen contenedores y bolsas específicas señalización clara y equipos de protección personal para un manejo seguro.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Debo contar con señalización de seguridad interna?",Sí la señalización de seguridad interna es obligatoria para prevenir riesgos guiar en emergencias y cumplir con las normativas vigentes protegiendo a todas las personas.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿El consultorio debe tener ventilación natural?",Sí la normativa exige ventilación natural o un sistema mecánico que garantice la renovación del aire para la seguridad de pacientes y personal.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Puede atender un técnico dental en lugar de un odontólogo?",No el técnico dental fabrica prótesis y aparatos pero no puede tratar pacientes su atención clínica es exclusiva del odontólogo.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Cuántos odontólogos pueden trabajar en un solo consultorio?",El número de odontólogos depende del tamaño del consultorio los cubículos disponibles y las regulaciones locales no existe un límite fijo.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Es obligatorio llevar historia clínica de cada paciente?",Sí es una obligación legal y un deber ético fundamental para garantizar la seguridad del paciente y la correcta práctica profesional.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Puedo contratar personal administrativo sin título en salud?",Sí puedes contratar personal administrativo sin título en salud ya que sus funciones no son clínicas sino de gestión y soporte.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Puedo operar un consultorio dental en mi domicilio?",Sí si el uso de suelo lo permite y cumples con todos los permisos sanitarios y municipales requeridos por la ley de tu localidad.,
"en una linea, sin saltos de linea, 30 palabras o menos y sin comas¿Qué pasa si no cumplo con las normas de infraestructura?",El incumplimiento de las normas de infraestructura genera multas sanciones clausura de la obra y responsabilidades legales por poner en riesgo la seguridad de las personas.,
